Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;interne;8;1,1
24eme;TOTAL;8;1,1
Aurouze;TMA;2,5;0,4
Aurouze;TMA Contrats;6;0,9
Aurouze;TMA Prélèvement;9;1,3
Aurouze;TMA Recherche;5;0,7
Aurouze;TMA Tournées;5;0,7
Aurouze;TMA Tuenet;11,5;1,6
Aurouze;TOTAL;39;5,6
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CIVA;TMA;45,5;6,5
CIVA;TOTAL;45,5;6,5
CNIV;TMA;8;1,1
CNIV;TOTAL;8;1,1
DeclarVins;DrmNegoce;2;0,3
DeclarVins;TMA;71,5;10,2
DeclarVins;TOTAL;73,5;10,5
ENVA;Intervention;7;1,0
ENVA;TOTAL;7;1,0
Eurocontrol;Scripts et Support;21;3,0
Eurocontrol;TOTAL;21;3,0
IVBD;TMA;10,5;1,5
IVBD;TOTAL;10,5;1,5
IVSO;TMA;23;3,3
IVSO;TOTAL;23;3,3
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
ODGProvence;TMA;2;0,3
ODGProvence;TOTAL;2;0,3
ODGRhone;TMA;18;2,6
ODGRhone;TOTAL;18;2,6
PSA;Prodimmo;10;1,4
PSA;TOTAL;10;1,4
Sancerre;TMA;19;2,7
Sancerre;TOTAL;19;2,7
VINSI;facturation;3,5;0,5
VINSI;ODG;127;18,1
VINSI;ODG Réunion;3,5;0,5
VINSI;TMA Contrat;14,5;2,1
VINSI;TMA DRM;39;5,6
VINSI;TOTAL;187,5;26,8
TOTAL;TOTAL;69,4
