Date;Projet;Description;Temps (en heure);Tache
2019-07-05;24eme;Laffitte / temps / compta;;
2019-07-08;24eme;facturation;3;interne
2019-07-09;24eme;facturation;1;interne
2019-07-10;24eme;Demenagement;;
2019-07-10;24eme;Déménagement;;
2019-07-10;24eme;demenagement;4;interne
2019-07-11;24eme;Déménagement;;
2019-07-11;24eme;Emmenagement;;
2019-07-15;24eme;Conges;;
2019-07-16;24eme;Conges;;
2019-07-16;24eme;Marcadet, PU;;
2019-07-17;24eme;Conges;;
2019-07-18;24eme;Conges;;
2019-07-18;24eme;Preparation Bilan;;
2019-07-19;24eme;Conges;;
2019-07-19;24eme;Preparation Bilan;;
2019-07-22;24eme;Preparation Bilan;;
2019-07-24;24eme;CIAMT;;
2019-07-26;24eme;Preparation Bilan;;
2019-07-29;24eme;Formation Colmar / Preparation bilan;;
2019-07-31;24eme;Bilan;;
