Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2020-05-05;ODGNantes;Maj des tests;2,5;TMA
2020-05-05;Aurouze;Couleurs dans calendrier;1,5;Devis
2020-05-12;VINSI;Tache récupération email contrat;2;TMA
2020-05-13;VINSI;Envoi mail contrat;1;TMA
2020-05-14;CIVA;Bouton ignorer validation;1;TMA
2020-05-20;VINSI;Deblocage DRM aout;1;TMA
2020-05-27;IVBD;Changement date contrat;1;TMA
2020-05-28;BIVC;filtre Export par catégorie;1,5;TMA
2020-05-07;CommuneMesure;Mise en place projet;1;Forfait
2020-05-07;CommuneMesure;debut vue;1;Forfait
2020-05-14;CommuneMesure;route/controller page d'accueil;2;Forfait
2020-05-14;CommuneMesure;json exemple lieu;1;Forfait
2020-05-15;CommuneMesure;popup carte pour info lieu;2;Forfait
2020-05-15;CommuneMesure;view page d'accueil;2;Forfait
2020-05-18;CommuneMesure;Bulma pour framework;1;Forfait
2020-05-18;CommuneMesure;Stylage lieu;2;Forfait
2020-05-18;CommuneMesure;Map;0,5;Forfait
2020-05-20;CommuneMesure;Bulma.min;0,5;Forfait
2020-05-20;CommuneMesure;Page static a propos;1;Forfait
2020-05-28;CommuneMesure;Deplacement submenu dans section;1;Forfait
2020-05-28;CommuneMesure;rework controller;1,5;Forfait
2020-05-28;CommuneMesure;submenu lieu;2;Forfait
2020-05-28;CommuneMesure;rework page lieu;1;Forfait
2020-05-29;CommuneMesure;Scrollspy submenu;1,5;Forfait
2020-05-29;CommuneMesure;carte page lieu;1;Forfait
2020-05-31;ODGProvence;Corrections et reimport;20;DAP
2020-05-31;ODGProvence;Developpement;18;PotentielProduction
2020-05-31;DeclarVins;Assistance / Demande;7;TMA
2020-05-31;DeclarVins;BI;7;TMA
2020-05-31;IVSO;Assistance / Demande;1,5;TMA
2020-05-31;IVBD;Assistance / Demande;1,5;TMA
2020-05-04;24eme;intercampagne;2,5;24eme
2020-05-04;Aurouze;Devis tel;1,5;Devis
2020-05-05;Aurouze;Devis tel;3,5;Devis
2020-05-05;CIVA;tma ;1;TMA
2020-05-06;24eme;embauche et covid;2;24eme
2020-05-06;Aurouze;migration;2,5;TMA
2020-05-06;IVBD;tma ;1;TMA
2020-05-07;VINSI;probleme de date DRM;1,5;TMA
2020-05-07;VINSI;probleme DRM;0,5;TMA
2020-05-11;ODGNantes;aide et questions;2;Forfait
2020-05-11;VINSI;probleme DRM;0,5;TMA
2020-05-12;CIVA;tma ;0,5;TMA
2020-05-12;VINSI;probleme DRM;1;TMA
2020-05-13;Aurouze;popup;1,5;Devis
2020-05-13;Aurouze;reglement;1,5;TMA
2020-05-13;ODGNantes;aide et questions;2;Forfait
2020-05-14;ODGNantes;debug Drev;1,5;Forfait
2020-05-14;ODGNantes;export paiements;2;Forfait
2020-05-15;VINSI;deblocage VR et cooperatives;2;TMA
2020-05-18;ODGNantes;Drev et transfert;2,5;Forfait
2020-05-18;VINSI;deblocage VR et cooperatives;1;TMA
2020-05-19;ODGNantes;exports de facture;2,5;Forfait
2020-05-26;IVSO;reecriture drm janvier a juin;3,5;TMA
2020-05-27;Aurouze;tma paiements;1,5;TMA
2020-05-27;CIVA;tma ;3;TMA
2020-05-27;IVSO;facturation en rade;1;TMA
2020-05-28;ODGNantes;aide et questions focntionnement;5;Forfait
2020-05-29;ODGNantes;aide facturation;5;Forfait
2020-05-31;Prodimmo;Monactivité et interface téléphonique;7;Outils internes
2020-05-31;ODGNantes;Automatisation du transfert des documents entre loire et nantes;3,5;Forfait
2020-05-31;VINSI;TMA et Export BI;7;TMA
2020-05-31;IVSO;TMA;3,5;TMA
2020-05-31;Aurouze;Activation compte téléphone;1,5;TMA
2020-05-31;AVA;Correction Parcellaire, VCI Bilan, Mutualisation;14,0;TMA
2020-05-31;CIVA;Contrat, DRM, Tiers;10,5;TMA
2020-05-31;ODGRhone;Évolutions habilitation;42,0;Habilitation
2020-05-31;CommuneMesure;Sprint 1 affichage des lieux;18;Forfait
2020-05-31;IVBD;DRM points de controles;0.125;TMA
