Date;Projet;Description;Temps (en heure);Tache
2018-10-01;24eme;PreRDV laureat.fr;2;
2018-10-02;24eme;avant vente lauerat fr;2;avant vente
2018-10-02;24eme;RDV laureat.fr;2;
2018-10-03;24eme;avant vente langues plurielles;2;avant vente
2018-10-03;24eme;RDV LP;3;
2018-10-04;24eme;Enrichissement formationmongodb;5;
2018-10-05;24eme;avant vente CDGS;2;avant vente
2018-10-05;24eme;RDV CDGS;7;
2018-10-11;24eme;Temps;3;
2018-10-12;24eme;Facturation / Entretien / Tactical;7;
2018-10-12;24eme;Tactical meeting et facturation;4;24eme
2018-10-15;24eme;reinstall ordinateur;6;24eme
2018-10-16;24eme;reinstall ordinateur;3;24eme
2018-10-19;24eme;Entretien;
2018-10-19;24eme;Entretient;3;24eme
2018-10-23;24eme;IVSO budget nextcloud;1,5;
2018-10-25;24eme;Entretien Jerome;
2018-10-25;24eme;report24;3,5;Prodimmo
2018-10-25;24eme;Report 24;4;Prodimmo
2018-10-30;24eme;malade;7;24eme
2018-10-31;24eme;Entretiens Jerome / Gabriel;
2018-10-31;24eme;Entretient;4;24eme
2018-10-31;24eme;Facturation et Entretiens;7;24eme
2018-10-31;24eme;Report 24 et Mon activité;7;Prodimmo
