Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;24eme;34;4,9
24eme;;30,5;4,4
24eme;avant vente;6;0,9
24eme;Prodimmo;14,5;2,1
24eme;TOTAL;85;12,1
Aurouze;reunion;1;0,1
Aurouze;TMA;5,5;0,8
Aurouze;TOTAL;6,5;0,9
AVA;Forfait;0,5;0,1
AVA;TMA;12,25;1,8
AVA;TOTAL;12,75;1,8
CIVA;TMA;56,5;8,1
CIVA;TOTAL;56,5;8,1
CNIV;TMA;5;0,7
CNIV;TOTAL;5;0,7
DeclarVins;TMA;43,5;6,2
DeclarVins;TOTAL;43,5;6,2
IR;TMA;11;1,6
IR;TOTAL;11;1,6
IVBD;reunion;7;1,0
IVBD;Statistique;12;1,7
IVBD;TMA;12;1,7
IVBD;TOTAL;31;4,4
IVSO;TMA;11;1,6
IVSO;TOTAL;11;1,6
ODGProvence;Forfait;11;1,6
ODGProvence;Lot 3;35,5;5,1
ODGProvence;TOTAL;46,5;6,6
ODGRhone;DI;14;2,0
ODGRhone;TOTAL;14;2,0
Pythagore;Forfait;21;3,0
Pythagore;Formation;21;3,0
Pythagore;TOTAL;42;6,0
Sancerre;TMA;7;1,0
Sancerre;TOTAL;7;1,0
TueNet;TueNet;17;2,4
TueNet;TOTAL;17;2,4
VINSI;TMA;26,5;3,8
VINSI;TOTAL;26,5;3,8
TOTAL;TOTAL;59,3
