Projet;Tâche;Temps (en heure);Temps (en jours)
ahjucaf;TMA + adminsys;7;1,0
ahjucaf;TOTAL;7;1,0
Aurouze;TMA;1;0,1
Aurouze;TMA Tuenet;2;0,3
Aurouze;TOTAL;3;0,4
AVA;Parcellaire;18,5;2,6
AVA;TMA DT;3,5;0,5
AVA;TOTAL;22;3,1
BIVC;TMA DT;3,5;0,5
BIVC;TOTAL;3,5;0,5
CIVA;TMA;11;1,6
CIVA;TMA DT;3,5;0,5
CIVA;TOTAL;14,5;2,1
CIVP;Calendrier;7;1,0
CIVP;DS;5,5;0,8
CIVP;VracExport;14;2,0
CIVP;TOTAL;26,5;3,8
CNIV;TMA DT;3,5;0,5
CNIV;TOTAL;3,5;0,5
DeclarVins;TMA;9;1,3
DeclarVins;TMA DT;2;0,3
DeclarVins;TOTAL;11;1,6
ENVA;Intervention;14;2,0
ENVA;TOTAL;14;2,0
IVBD;TMA;3,5;0,5
IVBD;TOTAL;3,5;0,5
ODGRhone;Admin sys;3,5;0,5
ODGRhone;Metabase;14;2,0
ODGRhone;TOTAL;17,5;2,5
PlateauUrbain;CommuneMesure;22,5;3,2
PlateauUrbain;Import;1;0,1
PlateauUrbain;Plateforme;16;2,3
PlateauUrbain;TOTAL;39,5;5,6
PU;CommuneMesure;10,5;1,5
PU;TOTAL;10,5;1,5
VinsIGP;Forfait;66;9,4
VinsIGP;TOTAL;66;9,4
VINSI;TMA DT;7;1,0
VINSI;TOTAL;7;1,0
TOTAL;TOTAL;35,6
