Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2021-08-31;DeclarVins;Assistance / Demande;7;TMA
2021-08-31;VinsIGP;Assistance / Demande;10;Forfait
2021-08-31;CIVP;DS;4;DS
2021-08-31;CIVP;VracExport;14;VracExport
2021-08-31;CIVP;Calendrier;7;Calendrier
2021-08-31;CIVA;Assistance / Demande;2;TMA
2021-08-31;ODGRhone;Developpement Metabase + Stats;7;Metabase
2021-08-31;VinsIGP;Direction technique;14;Forfait
2021-08-31;VINSI;Direction technique;7;TMA DT
2021-08-31;CIVA;Direction technique;3,5;TMA DT
2021-08-31;AVA;Direction technique;3,5;TMA DT
2021-08-31;CNIV;Direction technique;3,5;TMA DT
2021-08-31;CIVP;Direction technique;1,5;DS
2021-08-31;DeclarVins;Direction technique;2;TMA DT
2021-08-31;ahjucaf;Direction technique;7;TMA + adminsys
2021-08-31;BIVC;Direction technique;3,5;TMA DT
2021-08-31;ODGRhone;Direction technique;3,5;Admin sys
2021-08-31;PU;Direction technique;10,5;CommuneMesure
2021-08-31;VinsIGP;Export de données;14;Forfait
2021-08-31;CIVA;TMA DS et DRM;7;TMA
2021-08-31;IVBD;TMA;2,5;TMA
2021-08-02;VinsIGP;Developpements;25;Forfait
2021-08-13;DeclarVins;TMA;2;TMA
2021-08-19;ODGRhone;Developpements;7;Metabase
2021-08-27;PlateauUrbain;Import;1;Import
2021-08-31;AVA;Affectation Parcellaire;18,5;Parcellaire
2021-08-31;Aurouze;TMA;1;TMA
2021-08-31;PlateauUrbain;Commune Mesure dernier sprint;22,5;CommuneMesure
2021-08-31;Aurouze;TMA;2;TMA Tuenet
2021-08-31;ENVA;Migration GLPI;14;Intervention
2021-08-31;CIVA;TMA;2;TMA
2021-08-31;PlateauUrbain;Plateforme web;16;Plateforme
2021-08-31;VinsIGP;Facturation drome;3;Forfait
2021-08-31;IVBD;TMA;1;TMA
