Date;Projet;Description;Temps (en heure);Tache
2015-06-01;GIILDA;Initialisation;1;Contrats
2015-06-03;GIILDA;Bootstrapisation et adaptation Loire;3;Contrats
2015-06-04;GIILDA;Bootstrapisation et adaptation Loire;3;Contrats
2015-06-08;GIILDA;Bootstrapisation et adaptation Loire;4,5;Contrats
2015-06-08;GIILDA;Contrats;2,5;Forfait
2015-06-09;GIILDA;Bootstrapisation et adaptation Loire;8;Contrats
2015-06-09;GIILDA;Contrats;6;Forfait
2015-06-10;GIILDA;Réunion;7;Contrats
2015-06-10;GIILDA;Réunion fin sprint 1;7;Forfait
2015-06-16;GIILDA;Point sprint 2;2;Forfait
2015-07-01;GIILDA;Sprint 2;2;Forfait
2015-07-03;GIILDA;Sprint 2;5;Forfait
2015-07-06;GIILDA;Sprint 2;6;Forfait
2015-07-13;GIILDA;Sprint 2;6;Forfait
2015-07-14;GIILDA;Sprint 2;4;Forfait
2015-07-15;GIILDA;Point equipe;1;Forfait
2015-07-15;GIILDA;Sprint 2;4;Forfait
2015-07-24;GIILDA;Historique des contrats;4;Contrats
2015-07-24;GIILDA;Sprint 2;8;Forfait
2015-07-26;GIILDA;Sprint 2;5;Forfait
2015-07-27;GIILDA;Dév;7;Contrats
2015-07-27;GIILDA;Sprint 2;5;Forfait
2015-07-28;GIILDA;Réunion;7;Contrats
2015-07-28;GIILDA;Reunion;7;Forfait
