Date;Projet;Description;Temps (en heure);Tache
2015-06-01;DeclarVins;Correction bug teledeclaration;1;TMA
2015-06-01;DeclarVins;Etudes CDC Douanes + Mockup;5;TMA
2015-06-02;DeclarVins;Tickets 14693 14694 14824;6;TMA
2015-06-03;DeclarVins;Réunion Avignon;7;TMA
2015-06-05;DeclarVins;Correction bug teledeclaration;2;TMA
2015-06-08;DeclarVins;Bug DRM administratif;1,5;TMA
2015-06-08;DeclarVins;Ticket 15083;2;TMA
2015-06-11;DeclarVins;Tickets 14288 14259 14693 14694;7;TMA
2015-06-12;DeclarVins;Ticket 14697;4;TMA
2015-06-15;DeclarVins;Ticket 14485;4;TMA
2015-06-15;DeclarVins;Ticket 14977;1;Garantie
2015-06-16;DeclarVins;Ticket 15136 + Ajout etablissement teledeclaration;3;TMA
2015-06-17;DeclarVins;Evolution produit contrat;3;Forfait
2015-06-18;DeclarVins;Evolution produit contrat;8;Forfait
2015-06-19;DeclarVins;Evolution produit contrat;5;Forfait
2015-06-22;DeclarVins;Point gestion de projet;1;TMA
2015-06-22;DeclarVins;Ticket 15309;1;TMA
2015-06-22;DeclarVins;Ticket 15320;2;TMA
2015-06-23;DeclarVins;Mise en prod + Ouverture DRM IR;2;TMA
2015-06-23;DeclarVins;Ticket 15320;5;TMA
2015-06-24;DeclarVins;Debug par email ouverture DRM;3;TMA
2015-06-25;DeclarVins;Gestion de projet redmine;1;TMA
2015-06-25;DeclarVins;Tickets 14693 15376 15375;6;TMA
2015-06-29;DeclarVins;Ticket 15385;2;TMA
2015-06-30;DeclarVins;Gestion de projet evolution grc;1;TMA
2015-06-30;DeclarVins;Gestion des transferts d'historique;5;TMA
2015-07-01;DeclarVins;Intervention transfert historique;1;TMA
2015-07-01;DeclarVins;Point Mockup;0,5;TMA
2015-07-01;DeclarVins;Ticket 15427;0,5;TMA
2015-07-01;DeclarVins;Ticket 15447;3;TMA
2015-07-02;DeclarVins;Gestion projet TAS + IR;2;TMA
2015-07-02;DeclarVins;Ticket 15448;1;TMA
2015-07-07;DeclarVins;Réunion;6;TMA
2015-07-07;DeclarVins;Tickets 15549 15545 15341;1;TMA
2015-07-10;DeclarVins;Intervention IVSE;1;TMA
2015-07-10;DeclarVins;Pb lenteur;3;TMA
2015-07-10;DeclarVins;Tickets 15556 15543;2;TMA
2015-07-16;DeclarVins;Ticket 15009;7;TMA
2015-07-17;DeclarVins;Reflexion evolution DRM douane;4;TMA
2015-07-17;DeclarVins;Tickets 15592 15544 15537 15542;5;TMA
2015-07-20;DeclarVins;Point gestion de projet;1;TMA
2015-07-20;DeclarVins;Tickets 15586 15574;4;TMA
2015-07-21;DeclarVins;Assistance GRC CIVP;4;TMA
2015-07-21;DeclarVins;Tickets 15574 15634;3;TMA
2015-07-22;DeclarVins;Tickets 15592 15543 15604 15537;7;TMA
2015-07-23;DeclarVins;Assistance GRC ticket 15009;2;TMA
2015-07-29;DeclarVins;Tickets 14824 15543 15604;5;TMA
2015-07-30;DeclarVins;Tickets 14735 15777 14499;6;TMA
2015-07-31;DeclarVins;Assistance IVSE et ticket 15581;4;TMA
2015-07-31;DeclarVins;Mise en prod tickets 14697 14977 15009;1;TMA
