Projet;Tâche;Temps (en heure);Temps (en jours)
AlmaCersius;TMA;7;1,0
AlmaCersius;TOTAL;7;1,0
AMVM;TMA;28;4,0
AMVM;TOTAL;28;4,0
ASSVAS;TMA;3,5;0,5
ASSVAS;TOTAL;3,5;0,5
Aurouze;TMA;45;6,4
Aurouze;TOTAL;45;6,4
AVA;TMA;16,25;2,3
AVA;TOTAL;16,25;2,3
BIVC;TMA;4;0,6
BIVC;TOTAL;4;0,6
CentreLoire;Forfait;28;4,0
CentreLoire;TMA;14,5;2,1
CentreLoire;TOTAL;42,5;6,1
CIVA;Évolutions Tiers;42;6,0
CIVA;TMA;42,5;6,1
CIVA;TOTAL;84,5;12,1
CIVP;Facturation;28;4,0
CIVP;TMA;10,5;1,5
CIVP;TOTAL;38,5;5,5
CNIV;TMA;14;2,0
CNIV;TOTAL;14;2,0
IR;Adelphe;21;3,0
IR;TMA;10,5;1,5
IR;TOTAL;31,5;4,5
IVBD;TMA;3,5;0,5
IVBD;TOTAL;3,5;0,5
IVSE;TMA;3,5;0,5
IVSE;TOTAL;3,5;0,5
IVSO;TMA;19,5;2,8
IVSO;TOTAL;19,5;2,8
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
NathanMode;TMA;1,5;0,2
NathanMode;TOTAL;1,5;0,2
ODGNantes;TMA;14;2,0
ODGNantes;TOTAL;14;2,0
ODGProvence;Génération;5;0,7
ODGProvence;TMA;7;1,0
ODGProvence;TOTAL;12;1,7
ODGRhone;TMA;9;1,3
ODGRhone;TOTAL;9;1,3
PlateauUrbain;TMA;7;1,0
PlateauUrbain;TOTAL;7;1,0
Tuenet;TMA;0,25;0,0
Tuenet;TOTAL;0,25;0,0
VinsIGP;TMA;21,5;3,1
VinsIGP;TOTAL;21,5;3,1
TOTAL;TOTAL;58,6
