Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;7;1,0
ADM;TOTAL;7;1,0
Assvas;TMA;3,5;0,5
Assvas;TOTAL;3,5;0,5
Aurouze;TMA;7;1,0
Aurouze;TOTAL;7;1,0
AVA;TMA;24,5;3,5
AVA;TOTAL;24,5;3,5
CentreLoire;TMA;29,5;4,2
CentreLoire;TOTAL;29,5;4,2
CIVA;TMA;32,5;4,6
CIVA;TOTAL;32,5;4,6
CIVP;SuiviReserve;17,5;2,5
CIVP;TMA;14;2,0
CIVP;TOTAL;31,5;4,5
CNIV;Forfait;10,5;1,5
CNIV;TMA;10,5;1,5
CNIV;TOTAL;21;3,0
IR;RéserveInterpro;17,5;2,5
IR;TMA;28;4,0
IR;TOTAL;45,5;6,5
IVBD;TMA;4,5;0,6
IVBD;TOTAL;4,5;0,6
IVSE;VIP2C;21,5;3,1
IVSE;TOTAL;21,5;3,1
IVSO;NutriVin;23;3,3
IVSO;TMA;5,5;0,8
IVSO;TOTAL;28,5;4,1
NLNet;SignaturePDF;7;1,0
NLNet;TOTAL;7;1,0
ODGProvence;TMA;10,5;1,5
ODGProvence;TOTAL;10,5;1,5
ODGRhone;TMA;17,5;2,5
ODGRhone;TOTAL;17,5;2,5
Ventoux;TMA;3,5;0,5
Ventoux;TOTAL;3,5;0,5
VinsIGP;TMA;42;6,0
VinsIGP;TOTAL;42;6,0
TOTAL;TOTAL;48,1
