Date;Client;Description;Temps (en heure);Catégorie
2024-12-31;AVA;TMA;10.5;TMA
2024-12-31;Aurouze;TMA;2;TMA
2024-12-31;ADM;TMA;3.5;TMA
2024-12-31;ODGProvence;TMA;5;TMA
2024-12-31;IVSO;Evol mentions et affichage qr code;11;NutriVin
2024-12-31;VinsIGP;TMA;7;TMA
2024-12-31;CIVA;TMA;7;TMA
2024-12-31;CentreLoire;TMA;7;TMA
2024-12-31;CNIV;TMA;3,5;TMA
2024-12-31;CNIV;Migration;10,5;Forfait
2024-12-31;IVSO;TMA;10,5;NutriVin
2024-12-31;IR;TMA;3,5;TMA
2024-12-31;ODGRhone;TMA;10,5;TMA
2024-12-31;ADM;TMA;3,5;TMA
2024-12-31;CIVA;TMA;17,5;TMA
2024-12-31;AVA;TMA;7;TMA
2024-12-31;ODGRhone;TMA;3,5;TMA
2024-12-31;ODGProvence;TMA;1,5;TMA
2024-12-31;CentreLoire;TMA;17,5;TMA
2024-12-31;VinsIGP;TMA;14,0;TMA
2024-12-31;IVSE;TMA;2,5;VIP2C
2024-12-31;IVSO;TMA;3,5;TMA
2024-12-31;Ventoux;TMA;1,5;TMA
2024-12-31;CIVP;CravatePDF;7,0;SuiviReserve
2024-12-31;IVBD;TMA;2,5;TMA
2024-12-31;Aurouze;TMA;3,5;TMA
2024-12-31;CNIV;TMA;3,5;TMA
2024-12-31;Assvas;TMA;3,5;TMA
2024-12-31;IVBD;TMA;2;TMA
2024-12-31;VinsIGP;TMA;14;TMA
2024-12-31;IVSO;TMA;2;TMA
2024-12-31;ODGProvence;TMA;4;TMA
2024-12-31;Aurouze;TMA;1.5;TMA
2024-12-31;IVSE;Finalisation Dev VIP2C;15.5;VIP2C
2024-12-31;CentreLoire;TMA;4;TMA
2024-12-31;CIVA;TMA;8;TMA
2024-12-31;AVA;TMA;7;TMA
2024-12-31;IVSO;Police de caractere du PDF;1.5;NutriVin
2024-12-31;NLNet;Signature PDF Filigranne;7;SignaturePDF
2024-12-31;ODGRhone;TMA;3,5;TMA
2024-12-31;Ventoux;TMA;2;TMA
2024-12-31;IR;Assistance / Demande;24.5;TMA
2024-12-31;IR;Dev. Évolutions;17.5;RéserveInterpro
2024-12-31;CIVP;Assistance / Demande;14;TMA
2024-12-31;CIVP;Dev;10.5;SuiviReserve
2024-12-31;IVSE;TMA évolutive;3.5;VIP2C
2024-12-31;VinsIGP;VIP2C;7;TMA
2024-12-31;CNIV;Gestion down des douanes;3,5;TMA
2024-12-31;CentreLoire;Assistance / Demande;1;TMA
