Projet;Tâche;Temps (en heure);Temps (en jours)
Admin Sys;TMA AdminSys;3,5;0,5
Admin Sys;TOTAL;3,5;0,5
Aurouze;TMA;18;2,6
Aurouze;TMA Tuenet;1,5;0,2
Aurouze;TOTAL;19,5;2,8
AVA;TMA;14,5;2,1
AVA;TMA DT;3,5;0,5
AVA;TOTAL;18;2,6
BIVC;Facture;4;0,6
BIVC;TMA;1;0,1
BIVC;TMA DT;3,5;0,5
BIVC;TOTAL;8,5;1,2
CIVA;TMA;27,5;3,9
CIVA;TOTAL;27,5;3,9
CIVP;;43;6,1
CIVP;Forfait;14;2,0
CIVP;TOTAL;57;8,1
DeclarVins;TMA;14;2,0
DeclarVins;TMA IR;4;0,6
DeclarVins;TOTAL;18;2,6
IVBD;RI DT;9;1,3
IVBD;TMA;11;1,6
IVBD;TMA Non facturable;2;0,3
IVBD;TOTAL;22;3,1
IVSO;TMA;9,5;1,4
IVSO;TMA DT;5;0,7
IVSO;TOTAL;14,5;2,1
Juricaf;DT TMA;14;2,0
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;17,5;2,5
ODGNantes;TMA;11,5;1,6
ODGNantes;TOTAL;11,5;1,6
ODGProvence;TMA;2,5;0,4
ODGProvence;TOTAL;2,5;0,4
ODGRhone;TMA;1,5;0,2
ODGRhone;TOTAL;1,5;0,2
PlateaUrbain;DT + Réunion;10,5;1,5
PlateaUrbain;TOTAL;10,5;1,5
PlateauUrbain;CommuneMesure;102;14,6
PlateauUrbain;Reunion;1;0,1
PlateauUrbain;TOTAL;103;14,7
Tuenet;TMA;8;1,1
Tuenet;TOTAL;8;1,1
VinsIGP;Forfait;119,5;17,1
VinsIGP;Forfait reunion;3,5;0,5
VinsIGP;Réunion;3,5;0,5
VinsIGP;TOTAL;126,5;18,1
VINSI;ODG;2;0,3
VINSI ODG;TMA;2;0,3
VINSI ODG;TOTAL;2;0,3
VINSI;TMA;16,5;2,4
VINSI;Vinsi TMA DT;7;1,0
VINSI;TOTAL;25,5;3,6
TOTAL;TOTAL;71,0
