Date;Projet;Description;Temps (en heure);Tache
2021-02-01;PlateauUrbain;Hash admin;1;CommuneMesure
2021-02-02;PlateauUrbain;sections;4,5;CommuneMesure
2021-02-03;PlateauUrbain;sections;4;CommuneMesure
2021-02-04;PlateauUrbain;inté icone du pool;1;CommuneMesure
2021-02-04;PlateauUrbain;refacto dossiers;1;CommuneMesure
2021-02-04;PlateauUrbain;sections avec composant;2,5;CommuneMesure
2021-02-05;PlateauUrbain;fix insee;1;CommuneMesure
2021-02-05;PlateauUrbain;refacto dossiers;1,5;CommuneMesure
2021-02-09;PlateauUrbain;Réunion;1;Reunion
2021-02-09;PlateauUrbain;slug et auth composant section;2;CommuneMesure
2021-02-12;PlateauUrbain;Table pivot;1,5;CommuneMesure
2021-02-16;PlateauUrbain;Admin;35;CommuneMesure
2021-02-17;PlateauUrbain;Carousel + section + css;3,5;CommuneMesure
2021-02-17;PlateauUrbain;Table pivot section;1;CommuneMesure
2021-02-18;PlateauUrbain;Petits tickets;4;CommuneMesure
2021-02-19;PlateauUrbain;Galerie;3;CommuneMesure
2021-02-22;PlateauUrbain;icone C/C;0,5;CommuneMesure
2021-02-26;PlateauUrbain;Place Model;3;CommuneMesure
2021-02-28;PlateauUrbain;Edition des champs en mode admin;7;CommuneMesure
2021-02-28;PlateauUrbain;Model/Admin;25;CommuneMesure
