Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;SprintEvolution;15;2,1
ADM;TMA;3,5;0,5
ADM;TOTAL;18,5;2,6
Aurouze;Sprint;12;1,7
Aurouze;TMA;32;4,6
Aurouze;TOTAL;44;6,3
AVA;Sprint;10,5;1,5
AVA;TMA;36,5;5,2
AVA;TOTAL;47;6,7
BIVC;TMA;10,5;1,5
BIVC;TOTAL;10,5;1,5
CentreLoire;TMA;9,5;1,4
CentreLoire;TOTAL;9,5;1,4
CIVA;TMA;14;2,0
CIVA;TOTAL;14;2,0
CIVP;TMA;10,5;1,5
CIVP;TOTAL;10,5;1,5
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
Gaillac;Forfait;42,5;6,1
Gaillac;TOTAL;42,5;6,1
IGPSudOuest;Forfait;31,5;4,5
IGPSudOuest;TOTAL;31,5;4,5
IR;TMA;16;2,3
IR;TOTAL;16;2,3
IVBD;TMA;10,5;1,5
IVBD;TOTAL;10,5;1,5
IVSE;TMA;7;1,0
IVSE;TOTAL;7;1,0
IVSO;Nutrivin;2,5;0,4
IVSO;TMA;1;0,1
IVSO;TOTAL;3,5;0,5
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;3,5;0,5
NathanMode;Lineup;3,5;0,5
NathanMode;TMA;7;1,0
NathanMode;TOTAL;10,5;1,5
NLnet;Compression;3,5;0,5
NLnet;OpenImage;7;1,0
NLnet;OrganisationCleanPDF;10,5;1,5
NLnet;TOTAL;21;3,0
Nutrivin;TMA;3,5;0,5
Nutrivin;TOTAL;3,5;0,5
ODGNantes;TMA;2;0,3
ODGNantes;TOTAL;2;0,3
ODGProvence;TMA;14,5;2,1
ODGProvence;TOTAL;14,5;2,1
ODGRhone;Hébergement;3,5;0,5
ODGRhone;TMA;2,5;0,4
ODGRhone;TOTAL;6;0,9
Prodimmo;Prodimmo;7;1,0
Prodimmo;TOTAL;7;1,0
Ventoux;TMA;7;1,0
Ventoux;TOTAL;7;1,0
VinsIGP;TMA;17;2,4
VinsIGP;TOTAL;17;2,4
TOTAL;TOTAL;51,5
