Date;Projet;Description;Temps (en heure);Tache
2016-03-01;AVA;Parcellaire corrections et envoi aux acheteurs;3;Parcellaire
2016-03-01;AVA;Tirage corrections;1,5;Tirage
2016-03-04;AVA;Fix bug;1;TMA
2016-03-15;AVA;Envoi acheteurs après désactivation;1,5;Parcellaire
2016-03-23;AVA;Démarrage d'une ancienne drev et problème liste dégustateurs expers;1,5;TMA
2016-03-31;AVA;Récupération des DR et Facturation 2016;4,5;Facturation
2016-03-31;AVA;Tentative de correction de bug autocomplete permissif;1;Parcellaire
