Date;Client;Description;Temps (en heure);Catégorie
2024-08-31;ODGRhone;Calendrier;7;Calendrier
2024-08-31;ODGRhone;Dev;3,5;Calendrier
2024-08-31;ODGRhone;Evolutions Calendrier;9;Calendrier
2024-08-31;ODGRhone;TMA;7;TMA
2024-08-31;ODGRhone;Travail sur le calendrier;1;Calendrier
