Date;Projet;Description;Temps (en heure);Tache
2020-06-02;IVBD;Changement date;0,5;TMA
2020-06-11;IVBD;statistiques pour la facturation;6;stats
2020-06-15;IVBD;statistiques pour la facturation;4;stats
2020-06-16;IVBD;statistiques pour la facturation;3;stats
2020-06-18;IVBD;statistiques pour la facturation;5;stats
2020-06-19;IVBD;statistiques pour la facturation;3;stats
2020-06-23;IVBD;Contrat non soldé;1,5;TMA
2020-06-23;IVBD;statistiques pour la facturation;5;stats
2020-06-30;IVBD;Contrat et DRM;3,5;TMA
2020-06-30;IVBD;Direction technique;7;TMA DT
2020-06-30;IVBD;nouvelle statistique;5;stats
