Projet;Tâche;Temps (en heure);Temps (en jours)
Aurouze;Forfait Devis;5;0,7
Aurouze;TMA;23;3,3
Aurouze;TOTAL;28;4,0
AVA;TMA;5,5;0,8
AVA;TOTAL;5,5;0,8
BIVC;TMA;4,5;0,6
BIVC;TMA DT;14;2,0
BIVC;TOTAL;18,5;2,6
CIVA;DT Hébergement;7;1,0
CIVA;TMA;45;6,4
CIVA;TMA DT;10,5;1,5
CIVA;TOTAL;62,5;8,9
CIVP;DT TMA;3,5;0,5
CIVP;TOTAL;3,5;0,5
CNIV;TMA DT;7;1,0
CNIV;TOTAL;7;1,0
CommuneMesure;Forfait;37;5,3
Commune mesure;Sprint 1 Questionnaire/illustration;21;3,0
Commune mesure;TOTAL;21;3,0
CommuneMesure;TOTAL;37;5,3
DeclarVins;BI;28;4,0
DeclarVins;TMA;37;5,3
DeclarVins;TOTAL;65;9,3
IR;DT réunion;3,5;0,5
IR;DT TMA;3,5;0,5
IR;TOTAL;7;1,0
IVBD;stats;31;4,4
IVBD;TMA;5,5;0,8
IVBD;TMA DT;7;1,0
IVBD;TOTAL;43,5;6,2
IVSE;DT TMA;7;1,0
IVSE;TOTAL;7;1,0
IVSO;DT Subventions;3,5;0,5
IVSO;TMA;11,5;1,6
IVSO;TMA DT;3,5;0,5
IVSO;TOTAL;18,5;2,6
ODGNantes;DT TMA;3,5;0,5
ODGNantes;TMA;24;3,4
ODGNantes;TOTAL;27,5;3,9
ODGProvence;TMA;3,5;0,5
ODGProvence;TMA DT;3,5;0,5
ODGProvence;TOTAL;7;1,0
ODGRhone;Habilitation;7;1,0
ODGRhone;TMA DT;10,5;1,5
ODGRhone;TOTAL;17,5;2,5
Prodimmo;;44,5;6,4
Prodimmo;TOTAL;44,5;6,4
Pythagore;Formation;14;2,0
Pythagore;TOTAL;14;2,0
Tuenet;TMA;3,5;0,5
Tuenet;TOTAL;3,5;0,5
VinIGP;DT avant vente;3,5;0,5
VinIGP;TOTAL;3,5;0,5
VINSI;TMA;14;2,0
VINSI;Vinsi AdminSys DT;7;1,0
VINSI;Vinsi TMA DT;14;2,0
VINSI;TOTAL;35;5,0
TOTAL;TOTAL;68,1
