Date;Projet;Description;Temps (en heure);Tache
2020-06-02;CommuneMesure;fix js;2;Forfait
2020-06-03;CommuneMesure;animate chiffres;1;Forfait
2020-06-03;CommuneMesure;popup carte;1;Forfait
2020-06-03;CommuneMesure;Scroll wheel zoom control;1;Forfait
2020-06-03;CommuneMesure;Titre;0,5;Forfait
2020-06-05;CommuneMesure;Infobox coté lieux;2;Forfait
2020-06-05;CommuneMesure;Mapjs pour créer des cartes;1,5;Forfait
2020-06-08;CommuneMesure;Infobox + badges;3;Forfait
2020-06-11;CommuneMesure;Bulma scss npm;2;Forfait
2020-06-12;CommuneMesure;chartjs;2;Forfait
2020-06-12;CommuneMesure;webpack;1,5;Forfait
2020-06-15;CommuneMesure;couleurs charts;1;Forfait
2020-06-16;CommuneMesure;Graph en mode objet php;2;Forfait
2020-06-17;CommuneMesure;Css adapté à l'autre site;3;Forfait
2020-06-18;CommuneMesure;Refacto home page;1;Forfait
2020-06-18;CommuneMesure;Travail infobox;0,5;Forfait
2020-06-24;CommuneMesure;Chart svg % homme / femme;3;Forfait
2020-06-25;CommuneMesure;Place en mode model php;1;Forfait
2020-06-26;CommuneMesure;fontawesome + svg bodies + style;2;Forfait
2020-06-29;CommuneMesure;Multiples tabs possible;1;Forfait
2020-06-29;CommuneMesure;Tabs graphiques / données;2;Forfait
2020-06-30;CommuneMesure;Event on change pour bar;0,5;Forfait
2020-06-30;CommuneMesure;Graph % H/F cote a cote;2;Forfait
2020-06-30;CommuneMesure;Tabs pour page données;0,5;Forfait
