Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;24eme;6,5;0,9
24eme;interne;77;11,0
24eme;TOTAL;83,5;11,9
Aurouze;TMA;5;0,7
Aurouze;TOTAL;5;0,7
AVA;TMA;14;2,0
AVA;TOTAL;14;2,0
BIVC;TMA;8;1,1
BIVC;TOTAL;8;1,1
CIVA;TMA;34;4,9
CIVA;TOTAL;34;4,9
DeclarVins;TMA;64,5;9,2
DeclarVins;TOTAL;64,5;9,2
Eurocontrol;MigrationGIT;14;2,0
Eurocontrol;TOTAL;14;2,0
InterRhone;DAE;2,5;0,4
InterRhone;TOTAL;2,5;0,4
IVBD;Stats;24;3,4
IVBD;TMA;10,5;1,5
IVBD;TOTAL;34,5;4,9
IVSO;EDI;28;4,0
IVSO;TMA;7,5;1,1
IVSO;TOTAL;35,5;5,1
Juricaf;TMA;14;2,0
Juricaf;TOTAL;14;2,0
ODGProvence;Parcellaire;28;4,0
ODGProvence;TOTAL;28;4,0
ODGRhone;DI;19,5;2,8
ODGRhone;TMA;7,5;1,1
ODGRhone;TOTAL;27;3,9
Pythagore;Forfait;14;2,0
Pythagore;TOTAL;14;2,0
TueNet;Forfait;22;3,1
TueNet;TOTAL;22;3,1
VinIGP;AvantVente;17,5;2,5
VinIGP;TOTAL;17,5;2,5
VINSI;TMA;25,5;3,6
VINSI;TOTAL;25,5;3,6
TOTAL;TOTAL;63,4
