Date;Projet;Description;Temps (en heure);Tache
2017-12-01;ODGRhone;Tache OI;1;Forfait
2017-12-04;ODGRhone;Corrections reprise depuis SV12;2;Forfait
2017-12-06;ODGRhone;Corrections modif établissement envoi mail;2,5;Forfait
2017-12-08;ODGRhone;Corrections DRev et reprise depuis SV12;2;Forfait
2017-12-08;ODGRhone;pt de vigilance Drev;1,5;Forfait
2017-12-11;ODGRhone;Corrections reprise depuis SV12;2;Forfait
2017-12-13;ODGRhone;Corrections reprise depuis SV12;4,5;Forfait
2017-12-14;ODGRhone;Corrections upload;1;Forfait
2017-12-20;ODGRhone;envoie oi permanent;0,5;Forfait
2017-12-20;ODGRhone;Gestion envois OI;1,5;Forfait
2017-12-21;ODGRhone;Export des compte pour id2i + problème xinet hover couchdb;3,5;Forfait
2017-12-21;ODGRhone;gestion des groupes;5,5;Forfait
2017-12-21;ODGRhone;Saisie DR;3;Forfait
2017-12-22;ODGRhone;Export des compte pour id2i;3,5;Forfait
