Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;12,5;1,8
24ème;24ème;14,5;2,1
24ème;Congés;7;1,0
24ème;interne;37;5,3
24ème;TOTAL;71;10,1
Aurouze;Réunion;2;0,3
Aurouze;TMA;22;3,1
Aurouze;TOTAL;24;3,4
AVA;Réunion;7;1,0
AVA;TMA;1;0,1
AVA;TOTAL;8;1,1
CIVA;Réunion;3,5;0,5
CIVA;TMA;23;3,3
CIVA;TOTAL;26,5;3,8
CNIV;CNIV;1;0,1
CNIV;TOTAL;1;0,1
DeclarVins;TMA;27;3,9
DeclarVins;TOTAL;27;3,9
IVBD;TMA;2;0,3
IVBD;TOTAL;2;0,3
IVSO;TMA;9,5;1,4
IVSO;TOTAL;9,5;1,4
ODGProvence;Commercial;9,5;1,4
ODGProvence;TOTAL;9,5;1,4
ODGRhone;Forfait;34;4,9
ODGRhone;TOTAL;34;4,9
OpenODG;OpenODG;12;1,7
OpenODG;TOTAL;12;1,7
Pythagore;Forfait;21;3,0
Pythagore;TOTAL;21;3,0
VINSI;TMA;33,5;4,8
VINSI;TOTAL;33,5;4,8
