Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;24ème;22;3,1
24ème;;3;0,4
24ème;Tactical Meeting;3,5;0,5
24ème;Vacances;14;2,0
24ème;TOTAL;42,5;6,1
Aurouze;TMA;22;3,1
Aurouze;TOTAL;22;3,1
AVA;AVA;2;0,3
AVA;TMA;1;0,1
AVA;VC;1;0,1
AVA;TOTAL;4;0,6
CIVA;CIVA;12;1,7
CIVA;TMA;41,5;5,9
CIVA;TOTAL;53,5;7,6
DeclarVins;TMA;39;5,6
DeclarVins;TOTAL;39;5,6
IVSO;TMA;4;0,6
IVSO;TOTAL;4;0,6
ODGProvence;Commercial;6,5;0,9
ODGProvence;Forfait;7;1,0
ODGProvence;Lot 1;11,5;1,6
ODGProvence;OpenODG;11;1,6
ODGProvence;TOTAL;36;5,1
ODGRhone;Forfait;74,5;10,6
ODGRhone;TMA;3,5;0,5
ODGRhone;TOTAL;78;11,1
VINSI;TMA;42;6,0
VINSI;TOTAL;42;6,0
