Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2017-06-08;24ème;MongoDb et tactical;3;
2017-06-09;24ème;Burn out reveil + Preparation MongoDB;4;
2017-06-12;24ème;MongoDB base sirenes;7;
2017-06-13;DeclarVins;Qualisud Innovagro;2;TMA
2017-06-13;DeclarVins;Ticket #19526;1,5;TMA
2017-06-13;DeclarVins;Tickets #19521 #19451;0,5;TMA
2017-06-13;DeclarVins;Ticket #19537;2;TMA
2017-06-14;Actualys;Audit;1,5;TMA
2017-06-14;DeclarVins;Ticket #19554;2;TMA
2017-06-14;24ème;Preparation MongoDB;2,5;
2017-06-15;24ème;Preparation MongoDB;7;
2017-06-16;24ème;Preparation MongoDB;7;
2017-06-19;24ème;Preparation MongoDB;7;
2017-06-20;24ème;Preparation MongoDB;7;
2017-06-21;Pythagore;formation MongoDB;7;
2017-06-22;Pythagore;formation MongoDB;7;
2017-06-23;Pythagore;formation MongoDB;7;
2017-06-26;24ème;Preparation Bilan;
2017-06-27;AVA;Modif Drev;0,5;TMA
2017-06-27;DeclarVins;Tickets #19617 #19618;1,5;TMA
2017-06-27;24ème;Etude BI CIVP;2;
2017-06-28;DeclarVins;Ticket #19624;0,5;TMA
2017-06-28;DeclarVins;Ticket #19625;3,5;TMA
2017-06-28;DeclarVins;Ticket #19490;3;TMA
2017-06-29;DeclarVins;Tickets #19521 #19490;0,5;TMA
2017-06-29;DeclarVins;Pb lenteur reseau;1;TMA
2017-06-29;DeclarVins;Demande oops civp;0,5;TMA
2017-06-29;24ème;MongoDB sur git;1,5;
2017-06-29;DeclarVins;Ticket #19622;3;
2017-06-30;DeclarVins;Ticket #19622;7;
