Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;24ème;20;2,9
24ème;;48;6,9
24ème;Malade;7;1,0
24ème;TOTAL;75;10,7
Actualys;TMA;1,5;0,2
Actualys;TOTAL;1,5;0,2
Aurouze;TMA;13;1,9
Aurouze;TOTAL;13;1,9
AVA;Ergonomie;55,5;7,9
AVA;Forfait;2,5;0,4
AVA;TMA;10,5;1,5
AVA;TOTAL;68,5;9,8
CIVA;DRM;50;7,1
CIVA;TMA;6,5;0,9
CIVA;TOTAL;56,5;8,1
DeclarVins;;10;1,4
DeclarVins;TMA;43,5;6,2
DeclarVins;TOTAL;53,5;7,6
Formation;Formation;1,5;0,2
Formation;TOTAL;1,5;0,2
Giilda;TMA;4;0,6
Giilda;TOTAL;4;0,6
IVBD;TMA;5,5;0,8
IVBD;TOTAL;5,5;0,8
IVSO;TMA;2,5;0,4
IVSO;TOTAL;2,5;0,4
Pythagore;;21;3,0
Pythagore;Formation;14;2,0
Pythagore;TOTAL;35;5,0
Sancerre;TMA;4;0,6
Sancerre;TOTAL;4;0,6
Savoie;Savoie;14;2,0
Savoie;TOTAL;14;2,0
VINSI;DRM acquitté;9;1,3
VINSI;TMA;46,5;6,6
VINSI;TOTAL;55,5;7,9
