Date;Projet;Description;Temps (en heure);Tache
2019-11-04;DeclarVins;Evolution Contrat;10;Egalim
2019-11-05;DeclarVins;Assistance / Demandes;1;TMA
2019-11-05;DeclarVins;Evolution Contrat;3;Egalim
2019-11-05;DeclarVins;Import CSV;1;TMA
2019-11-05;DeclarVins;Transmission DRM;1;TMA
2019-11-07;DeclarVins;Assistance / Demandes;5,5;TMA
2019-11-07;DeclarVins;Evolution Contrat;1,5;Egalim
2019-11-08;DeclarVins;Amelioration usurpation;1;TMA
2019-11-08;DeclarVins;Assistance / Demandes;2;TMA
2019-11-08;DeclarVins;Evolution Contrat;1;Egalim
2019-11-12;DeclarVins;Assistance / Demandes;1,5;TMA
2019-11-12;DeclarVins;Import CSV;2;TMA
2019-11-13;DeclarVins;Assistance / Demandes;2;TMA
2019-11-13;DeclarVins;Transmission DRM;0,5;TMA
2019-11-14;DeclarVins;Assistance / Demandes;2,5;TMA
2019-11-14;DeclarVins;Evolution Contrat;3,5;Egalim
2019-11-14;DeclarVins;Import CSV;2;TMA
2019-11-14;DeclarVins;Import CSV;2;TMA
2019-11-14;DeclarVins;Retour douane;0,5;TMA
2019-11-15;DeclarVins;Assistance / Demandes;1;TMA
2019-11-15;DeclarVins;Import CSV;2;TMA
2019-11-15;DeclarVins;Reinterrogation CIEL;6;TMA
2019-11-18;DeclarVins;Assistance / Demandes;1;TMA
2019-11-18;DeclarVins;Evolution stats familles / lots;4;TMA
2019-11-19;DeclarVins;Assistance / Demandes;1;TMA
2019-11-20;DeclarVins;Assistance / Demandes;1;TMA
2019-11-20;DeclarVins;Contrat Vrac;1;TMA
2019-11-20;DeclarVins;Evolution Contrat;2;Egalim
2019-11-22;DeclarVins;Assistance / Demande;1;TMA
2019-11-26;DeclarVins;Assistance / Demande;1;TMA
2019-11-27;DeclarVins;Assistance / Demande;2;TMA
2019-11-28;DeclarVins;Assistance / Demande;1,5;TMA
2019-11-29;DeclarVins;Assistance / Demande;1;TMA
2019-11-30;DeclarVins;TMA DRM;3,5;TMA
