Projet;Tâche;Temps (en heure);Temps (en jours)
Admin Sys;TMA AdminSys;3,5;0,5
Admin Sys;TOTAL;3,5;0,5
Aurouze;TMA;15,5;2,2
Aurouze;TMA Tuenet;2;0,3
Aurouze;TOTAL;17,5;2,5
AVA;TMA;5,5;0,8
AVA;TMA DT;3,5;0,5
AVA;TOTAL;9;1,3
CIVA;TMA;64,5;9,2
CIVA;TOTAL;64,5;9,2
CIVP;;41;5,9
CIVP;DT Réunion;3,5;0,5
CIVP;Forfait;7;1,0
CIVP;TOTAL;51,5;7,4
DeclarVins;TMA;24,5;3,5
DeclarVins;TOTAL;24,5;3,5
IVBD;RI DT;3,5;0,5
IVBD;TMA;9,5;1,4
IVBD;TOTAL;13;1,9
IVSO;TMA;1;0,1
IVSO;TMA DT;3,5;0,5
IVSO;TOTAL;4,5;0,6
ODGNantes;TMA;2;0,3
ODGNantes;TOTAL;2;0,3
ODGProvence;TMA;3,5;0,5
ODGProvence;TOTAL;3,5;0,5
ODGRhone;TMA;5;0,7
ODGRhone;TOTAL;5;0,7
PlateauUrbain;CommuneMesure;13;1,9
PlateauUrbain;Reunion;1;0,1
PlateauUrbain;TOTAL;14;2,0
Sancerre;Facture;56;8,0
Sancerre;TMA 2020;0,5;0,1
Sancerre;TMA;8;1,1
Sancerre;TOTAL;64,5;9,2
VinsIGP;Forfait;118,5;16,9
VinsIGP;Reunion;3;0,4
VinsIGP;TOTAL;121,5;17,4
VINSI;TMA;11;1,6
VINSI;TMA ODG;3,5;0,5
VINSI;TMA ODG DT;7;1,0
VINSI;Vinsi TMA DT;3,5;0,5
VINSI;TOTAL;25;3,6
TOTAL;TOTAL;60,5
