Projet;Tâche;Temps (en heure);Temps (en jours)
24EME;;1;0,1
24EME;24EME;2;0,3
24EME;TM;3,5;0,5
24EME;TOTAL;6,5;0,9
Admin sys;Admin sys;7;1,0
Admin sys;TMA;3;0,4
Admin sys;TOTAL;10;1,4
Aurouze;Forfait;8;1,1
Aurouze;TMA;1;0,1
Aurouze;TOTAL;9;1,3
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
BIVC;TMA;31;4,4
BIVC;TOTAL;31;4,4
CIVA;Forfait;14;2,0
CIVA;TMA;34,5;4,9
CIVA;TOTAL;48,5;6,9
DeclarVins;TMA;34;4,9
DeclarVins;TOTAL;34;4,9
IVBD;TMA;20;2,9
IVBD;TOTAL;20;2,9
IVSO;TMA;33,5;4,8
IVSO;TOTAL;33,5;4,8
NathanMode;Forfait;11;1,6
NathanMode;TOTAL;11;1,6
OdgProvence;TMA;20;2,9
OdgProvence;TOTAL;20;2,9
OdgRhone;DI;28;4,0
OdgRhone;TMA;17;2,4
OdgRhone;TOTAL;45;6,4
Pythagore;DI;14;2,0
Pythagore;Forfait;21;3,0
Pythagore;TOTAL;35;5,0
VINSI;TMA;53;7,6
VINSI;TOTAL;53;7,6
