Date;Projet;Description;Temps (en heure);Tache
2018-06-06;IVBD;Enlevements contrats calculés à chaque fois;3,5;TMA
2018-06-18;IVBD; retour douane;3,5;TMA
2018-06-20;IVBD;conf retour douane;2;TMA
2018-06-27;IVBD; pdf des drms;2;TMA
2018-06-28;IVBD;reparation report One;2;TMA
2018-06-30;IVBD;;7,0;TMA
2018-06-30;IVBD;Corrections campagnes n-1 non présente dans l'accueil des DRM télédéclaré;;TMA
2018-06-30;IVBD;DRM Bordeaux analyse du retour cis valley;;TMA
2018-06-30;IVBD;Export csv télédéclarant lignes doublées et ajout millésime;;TMA
2018-06-30;IVBD;Interventions DRM;;TMA
2018-06-30;IVBD;No accises et siret par défaut dans le formulaire de création de compte télédéclaré;;TMA
