Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;21;3,0
24eme;Absent;7;1,0
24eme;interne;5;0,7
24eme;OSS;2;0,3
24eme;TM;3;0,4
24eme;TOTAL;38;5,4
Aurouze;TMA;10;1,4
Aurouze;TOTAL;10;1,4
AVA;TMA;4;0,6
AVA;VCI;7;1,0
AVA;TOTAL;11;1,6
BIVC;TMA;4,5;0,6
BIVC;TOTAL;4,5;0,6
CIVA;TMA;47;6,7
CIVA;TOTAL;47;6,7
CNIV;TMA;12,5;1,8
CNIV;TOTAL;12,5;1,8
DeclarVins;TMA;42;6,0
DeclarVins;TOTAL;42;6,0
Eurocontrol;MigrationGIT;35;5,0
Eurocontrol;TOTAL;35;5,0
IR;TMA;12;1,7
IR;TOTAL;12;1,7
IVBD;Stats;8;1,1
IVBD;TMA;23;3,3
IVBD;TOTAL;31;4,4
IVSO;TMA;27;3,9
IVSO;TOTAL;27;3,9
ODGProvence;Lot 3;4,5;0,6
ODGProvence;TOTAL;4,5;0,6
ODGRhone;TMA;10,5;1,5
ODGRhone;TOTAL;10,5;1,5
PSA;TMA;2;0,3
PSA;TOTAL;2;0,3
Pythagore;Forfait;21;3,0
Pythagore;TOTAL;21;3,0
VINSI;TMA;35;5,0
VINSI;TOTAL;35;5,0
TOTAL;TOTAL;49,0
