Date;Projet;Description;Temps (en heure);Tache
2023-05-22;Aurouze;TMA;35,0;TMADate;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-05-31;Aurouze;TMA;1,5;TMA
2023-05-31;Aurouze;TMA;3,5;TMA
