Date;Projet;Description;Temps (en heure);Tache
2019-12-06;CIVA;DRM transmission et Tiers ;3,5;TMA
2019-12-09;CIVA;Deux décimal ou plus sans 0;2;TMA
2019-12-10;CIVA;Disparition de DR;2;TMA
2019-12-10;CIVA;Maj HK;1;TMA
2019-12-10;CIVA;Pas d'import si pays inconnu;1;TMA
2019-12-10;CIVA;Sélection multiple mercuriale;1;TMA
2019-12-12;CIVA;Reset CRD dans mon compte;1;TMA
2019-12-13;CIVA;Correctifs et export données CSV;4;Mercuriales
2019-12-13;CIVA;DRM probleme ;1;TMA
2019-12-16;CIVA;Changement statut CRD;0,5;TMA
2019-12-17;CIVA;Correctifs;6;Mercuriales
2019-12-17;CIVA;Hopla CIVA giilda;2;TMA
2019-12-18;CIVA;Francisation;1;TMA
2019-12-18;CIVA;Gestion du bio;7;Mercuriales
2019-12-18;CIVA;Identifiant DRM pdf;1;TMA
2019-12-19;CIVA;Contrats millésimés et correctifs;7;Mercuriales
2019-12-19;CIVA;(Suite)(Suite) dans pdf;1;TMA
2019-12-20;CIVA;tma ;1;TMA
2019-12-27;CIVA;DR manquante dans XML;2;TMA
2019-12-27;CIVA;tma ;2;TMA
2019-12-27;CIVA;XMD DR;1;TMA
2019-12-31;CIVA;TMA DRM, DR, Contrat etTiers;31,5;TMA
