Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;TOTAL;0;0,0
Aurouze;TMA;3;0,4
Aurouze;TMA TueNet;2;0,3
Aurouze;TOTAL;5;0,7
AVA;TMA;11;1,6
AVA;TOTAL;11;1,6
CIVA;Mercuriales;24;3,4
CIVA;TMA;55,5;7,9
CIVA;TOTAL;79,5;11,4
DeclarVins;TMA;38;5,4
DeclarVins;TOTAL;38;5,4
IVBD;TMA;10,5;1,5
IVBD;TOTAL;10,5;1,5
IVSO;TMA;7;1,0
IVSO;TOTAL;7;1,0
ODGProvence;Map parcellaires;35;5,0
ODGProvence;Réunion;11;1,6
ODGProvence;TMA;3,5;0,5
ODGProvence;TOTAL;49,5;7,1
ODGRhone;TMA;5;0,7
ODGRhone;TOTAL;5;0,7
PlateauUrbain;Web;2;0,3
PlateauUrbain;TOTAL;2;0,3
Reunion;Reunion Loire;7;1,0
Reunion;Reunion Provence;3,5;0,5
Reunion;TOTAL;10,5;1,5
Sancerre;TMA;1;0,1
Sancerre;TOTAL;1;0,1
VINSI;Ciel 1;2;0,3
VINSI;ODG;23,5;3,4
VINSI;Réunion;14;2,0
VINSI;TMA;23,5;3,4
VINSI;TOTAL;63;9,0
TOTAL;TOTAL;40,3
