Date;Client;Description;Temps (en heure);Catégorie
2026-04-30;IVSO;Developpement;4;ContratCahors
2026-04-30;IVSO;Nutrivin cron export;2;NutriVin
2026-04-30;IVSO;TMA;0,5;TMA
2026-04-30;IVSO;TMA;1,0;TMA
