Client;Catégorie;Temps (en heure);Temps (en jours)
AdminSys;AdminSys;7;1,0
AdminSys;TOTAL;7;1,0
ASSVAS;TMA;2;0,3
ASSVAS;TOTAL;2;0,3
Aurouze;TMA;11,5;1,6
Aurouze;TOTAL;11,5;1,6
AVA;TMA;8;1,1
AVA;TOTAL;8;1,1
CentreLoire;TMA;5,5;0,8
CentreLoire;TOTAL;5,5;0,8
CIVA;Contrat;60;8,6
CIVA;Contrat FT;24,5;3,5
CIVA;TMA;7;1,0
CIVA;TOTAL;91,5;13,1
CIVP;TMA;19,5;2,8
CIVP;TOTAL;19,5;2,8
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
Gaillac;Réunion;3,5;0,5
Gaillac;TMA;17,5;2,5
Gaillac;TOTAL;21;3,0
IGPSudOuest;TMA;1;0,1
IGPSudOuest;TOTAL;1;0,1
IR;TMA;9;1,3
IR;TOTAL;9;1,3
IVSE;TMA;4,5;0,6
IVSE;TOTAL;4,5;0,6
IVSO;ContratCahors;4;0,6
IVSO;NutriVin;2;0,3
IVSO;TMA;1,5;0,2
IVSO;TOTAL;7,5;1,1
Juricaf;TMA;7;1,0
Juricaf;TOTAL;7;1,0
NLNet;SignaturePDF;31;4,4
NLNet;TOTAL;31;4,4
ODGNantes;TMA;3,5;0,5
ODGNantes;TOTAL;3,5;0,5
ODGProvence;Controle;66,5;9,5
ODGProvence;TMA;0,5;0,1
ODGProvence;TOTAL;67;9,6
ODGRhone;DRaP;31,5;4,5
ODGRhone;TMA;4;0,6
ODGRhone;TOTAL;35,5;5,1
ORessource;TMA;2;0,3
ORessource;TOTAL;2;0,3
Prodimmo;Metacompta;4;0,6
Prodimmo;TOTAL;4;0,6
Projet;Tache;0;0,0
Projet;TOTAL;0;0,0
Sancerre;TMA;3,5;0,5
Sancerre;TOTAL;3,5;0,5
Ventoux;Evolutions;17,5;2,5
Ventoux;TOTAL;17,5;2,5
VinsIGP;PDM;17,5;2,5
VinsIGP;TMA;18;2,6
VinsIGP;TOTAL;35,5;5,1
TOTAL;TOTAL;56,9
