Date;Projet;Description;Temps (en heure);Tache
2016-12-06;Sancerre;Stats etudes;5;Forfait
2016-12-09;Sancerre;Sancerre stats pivot table;4;Forfait
2016-12-12;Sancerre;configuration mouvement drm inté import contrat;6;Import
2016-12-12;Sancerre;Sancerre stats pivot table;10;Forfait
2016-12-13;Sancerre;Dév Drm Facturation;4;Drm
2016-12-13;Sancerre;Sancerre stats pivot table;9;Forfait
2016-12-14;Sancerre;Drm Facturation et Sv12;7;Facturation
2016-12-14;Sancerre;Sancerre stats pivot table;3;Forfait
2016-12-14;Sancerre;Tickets pour réunion;7;Dév
2016-12-15;Sancerre;Réunion;3,5;Réunion
2016-12-15;Sancerre;Reunion;7;Forfait
2016-12-15;Sancerre;Réunion Sancerre;7;Réunion
2016-12-27;Sancerre;Achat des serveurs;1,5;Hébergement
