Date;Projet;Description;Temps (en heure);Tache
2016-12-01;24ème;Maladie;0;
2016-12-02;24ème;cadeau souris;2;24ème
2016-12-02;24ème;Maladie;0;
2016-12-07;24ème;Maladie;0;
2016-12-08;24ème;Maladie;0;
2016-12-09;24ème;Maladie;0;
2016-12-12;24ème;Temps et facturation;2,5;24ème
2016-12-14;24ème;Santa secret Actualys;0;
2016-12-15;24ème;Réunion;2;Tactical meeting
2016-12-15;24ème;Tactical meeting;2;24ème
2016-12-19;24ème;Rdv locaux Lancelot;3;
2016-12-27;24ème;Vacances;7;
2016-12-28;24ème;Dépot des comptes au Greffe;1,5;24ème
2016-12-28;24ème;Vacances;7;
2016-12-29;24ème;Vacances;7;
2016-12-30;24ème;temps;1;temps
2016-12-30;24ème;Vacances;7;
