Date;Projet;Description;Temps (en heure);Tache
2016-12-01;GIILDA;Transmission de DRM Ciel;0,5;IVBD
2016-12-02;GIILDA;Correction dans le XML;1,5;IVBD
2016-12-02;GIILDA;Résolution des problème lié aux Aqc et Susp;6;IVBD
2016-12-05;GIILDA;Debug DRM;0,5;IVBD
2016-12-07;GIILDA;Transmission de DRM Ciel;0,5;IVBD
2016-12-08;GIILDA;Transmission de DRM Ciel;1;IVBD
2016-12-08;GIILDA;Transmission de DRM Ciel;1;IVSO
2016-12-09;GIILDA;Transmission de DRM Ciel;2;IVBD
2016-12-09;GIILDA;Transmission de DRM Ciel;2;IVSO
