Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2023-06-30;IR;Assistance / Demande;45,5;TMA
2023-06-30;IVSE;Assistance / Demande;7;TMA
2023-06-30;CIVP;Assistance / Demande;7;TMA
2023-06-30;CIVP;Metabase;7;Metabase
2023-06-30;CIVA;Annexe;21;Contrat pluriannuel
2023-06-30;CIVA;Mise en preprod et prod;7;Contrat pluriannuel
2023-06-30;PlateauUrbain;Evolutions plateforme;10;Plateforme
2023-06-22;IR;Stats Inter-Rhone;4,0;Statistiques
2023-06-01;Aurouze;TMA;56,0;TMA
2023-06-28;CentreLoire;Dev sprint2;1;Forfait
2023-06-30;VinsIGP;Direction technique;10,5;TMA
2023-06-30;IR;Direction technique WineTracker;7;Statistiques
2023-06-30;IVSO;Direction technique;3,5;TMA
2023-06-30;AHJUCAF;Direction technique;3,5;TMA
2023-06-30;Armagnac;Direction technique;17,5;Stats
2023-06-30;AMVM;Direction technique;7;Réunion + clean mayline et henri
2023-06-30;ODGProvence;Direction technique;3,5;Export Franceagrimer + DS
2023-06-30;ODGRhone;Direction technique;3,5;TMA
2023-06-30;BIVC;Direction technique;3,5;TMA
2023-06-30;PlateauUrbain;Direction technique;4;Plateforme
2023-06-30;CIVA;Direction technique;3,5;TMA
2023-06-30;AVA;Direction technique;4;TMA
2023-06-30;ODGRhone;Direction technique;3,5;Forfait Certipaq
2023-06-30;Interloire;Direction technique;3,5;TMA
2023-06-30;AdminSys;Direction technique;3,5;TMA
2023-06-30;ODGProvence;TMA;7,0;TMA
2023-06-30;CIVA;Contrat + mise en prod;31,5;Contrat pluriannuel
2023-06-30;VinsIGP;TMA;3,5;TMA
2023-06-30;AVA;TMA + Correction Parcellaire;25;TMA
2023-06-30;Aurouze;Sprint et mie en prod tuenet;14;TMA
2023-06-30;CentreLoire;Développement et réunion;7,0;Forfait
2023-06-30;BIVC;Réunion;3,5;Autodiagnostic
2023-06-05;CentreLoire;Evolution écran tournées suite spint2;2;Forfait
2023-06-13;CentreLoire;Etape prelevements après tournées;2;Forfait
2023-06-15;CentreLoire;PDF prelevements condensé;4;Forfait
2023-06-22;ODGProvence;Fromulaire calculette PP : Initialisation;4;Contrôle
2023-06-27;ODGProvence;Fromulaire calculette PP : Pour chaque DGC;4;Contrôle
2023-06-27;ADM;Libération du code : avec Guy;1;Forfait
2023-06-27;ADM;Support mail;0.5;Forfait
2023-06-27;ODGProvence;Fromulaire calculette PP : Mise en forme;2;Contrôle
2023-06-29;ODGProvence;Fromulaire calculette PP : Dans le parcellaire également;3;Contrôle
2023-06-29;ODGProvence;Fromulaire calculette PP : Finalisation et tests;3;Contrôle
2023-06-30;BIVC;Réunion;3,5;Autodiagnostic
2023-06-30;CentreLoire;Dev sprint 3;22;Forfait
2023-06-30;IVSO;TMA;3,5;TMA
2023-06-30;VinsIGP;TMA;14;TMA
2023-06-30;Aurouze;TMA;1,5;TMA
2023-06-30;AVA;TMA;2,5;TMA
2023-06-30;IR;TMA;3,5;TMA
2023-06-30;CIVA;TMA;2;TMA
2023-06-30;ENVA;Dev Paybox;7;Forfait
2023-06-30;VinsIGP;Réunion;7;Réunion
2023-06-30;Armagnac;Réunion;7;Stats
2023-06-30;PlateauUrbain;Dev plateforme;4;Plateforme
2023-06-30;CIVP;Calendrier;3;TMA
2023-06-30;ODGProvence;TMA;1,5;TMA
