Date;Projet;Description;Temps (en heure);Tache
2023-06-22;IR;Stats Inter-Rhone;4,0;Statistiques
2023-06-30;IR;Assistance / Demande;17,5;TMA
2023-06-30;IR;Direction technique WineTracker;7;Statistiques
2023-06-30;IR;TMA;3,5;TMA
2023-06-30;IR;Evolutions facturation;28;TMA
