Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24eme;TOTAL;0;0,0
Aurouze;TMA;9;1,3
Aurouze;TueNet;53,5;7,6
Aurouze;TOTAL;62,5;8,9
AVA;TMA;45,5;6,5
AVA;TOTAL;45,5;6,5
BIVC;TMA;4,5;0,6
BIVC;TOTAL;4,5;0,6
CIVA;TMA;10,5;1,5
CIVA;TOTAL;10,5;1,5
CNIV;TMA;8;1,1
CNIV;TOTAL;8;1,1
DeclarVins;DrmNegoce;4,5;0,6
DeclarVins;TMA;29;4,1
DeclarVins;TOTAL;33,5;4,8
Eurocontrol;Scripts et Support;17,5;2,5
Eurocontrol;TOTAL;17,5;2,5
IR;DAE;2;0,3
IR;TOTAL;2;0,3
IVBD;Stats;11;1,6
IVBD;TMA;4,5;0,6
IVBD;TOTAL;15,5;2,2
IVSO;TMA;35,5;5,1
IVSO;TOTAL;35,5;5,1
Juricaf;TMA;7;1,0
Juricaf;TOTAL;7;1,0
ODGProvence;Parcellaire;62;8,9
ODGProvence;TMA;1;0,1
ODGProvence;TOTAL;63;9,0
ODGRhone;DI;7;1,0
ODGRhone;TMA;7;1,0
ODGRhone;TOTAL;14;2,0
VinIGP;AvantVente;7;1,0
VinIGP;TOTAL;7;1,0
VINSI;ODG;24,5;3,5
VINSI;TMA;52,5;7,5
VINSI;TOTAL;77;11,0
TOTAL;TOTAL;57,6
