Date;Client;Description;Temps (en heure);Catégorie
2025-06-30;IR;Assistance / Demande;21;TMA
2025-06-30;CIVP;Assistance / Demande;14;TMA
2025-06-30;IVSE;Assistance / Demande;3,5;TMA
2025-06-30;NathanMode;Sprint 1 : instance Linup;38,5;Forfait
2025-06-30;CIVA;TMA;10,5;TMA
2025-06-30;AVA;TMA;10,5;TMA
2025-06-30;AMVM;TMA;2,5;TMA
2025-06-30;Ventoux;TMA;3,5;TMA
2025-06-30;Aurouze;TMA;7,0;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;NLNet;Couleur;1,5;Color
2025-06-30;NLNet;Caviardage;7,0;Redact
2025-06-30;IGPSudOuest;TMA;10,5;Forfait
2025-06-30;IVBD;TMA;7,0;TMA
2025-06-30;VinsIGP;TMA;7,0;TMA
2025-06-30;ODGProvence;TMA;7,0;TMA
2025-06-30;IVSO;TMA nutrivin;2;Nutrivin
2025-06-30;IVSO;TMA;1,5;TMA
2025-06-30;VinsIGP;TMA;7;TMA
2025-06-30;AVA;TMA;3,5;TMA
2025-06-30;CIVP;TMA CravatePDF;2;CravatePDF
2025-06-30;CentreLoire;TMA;0,5;TMA
2025-06-30;ODGRhone;TMA;0,5;TMA
2025-06-30;BIVC;TMA;2,5;TMA
2025-06-30;NLNet;SignaturePDF Watermark;29;Forfait
2025-06-30;NLNet;SignaturePDF Retention Config;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Multiline text;3,5;Forfait
2025-06-30;NLNet;SignaturePDF Metadata;7;Forfait
2025-06-30;NLNet;SignaturePDF Color;8;Forfait
2025-06-30;NLNet;SignaturePDF;7;Forfait
2025-06-30;Aurouze;Réunion;2,5;Sprint
2025-06-30;Aurouze;Sprint;8,5;Sprint
2025-06-30;Ventoux;TMA;1;TMA
2025-06-30;BIVC;TMA;1;TMA
2025-06-30;AVA;TMA;4;TMA
2025-06-30;IGPSudOuest;Forfait - Sprint 1;28;Forfait
2025-06-30;ODGRhone;Admin sys;3,5;Hébergement
2025-06-30;Gaillac;Forfait;21;Forfait
2025-06-30;CNIV;TMA;3,5;TMA
2025-06-30;ODGProvence;TMA;7;TMA
2025-06-30;ADM;Sprint;14;Forfait
2025-06-30;AMVM;TMA;3,5;TMA
2025-06-30;VinsIGP;TMA;3,5;TMA
2025-06-30;ADM;Reunion Sprint;2;Forfait
2025-06-30;ADM;Dev Sprint;20;Forfait
2025-06-30;IGPSudOuest;Reunion Sprint;2;Forfait
2025-06-30;IGPSudOuest;Dev Sprint;16;Forfait
