Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;Forfait;36;5,1
ADM;TOTAL;36;5,1
AMVM;TMA;6;0,9
AMVM;TOTAL;6;0,9
Aurouze;Sprint;11;1,6
Aurouze;TMA;7;1,0
Aurouze;TOTAL;18;2,6
AVA;TMA;18;2,6
AVA;TOTAL;18;2,6
BIVC;TMA;6;0,9
BIVC;TOTAL;6;0,9
CentreLoire;TMA;0,5;0,1
CentreLoire;TOTAL;0,5;0,1
CIVA;TMA;10,5;1,5
CIVA;TOTAL;10,5;1,5
CIVP;CravatePDF;2;0,3
CIVP;TMA;14;2,0
CIVP;TOTAL;16;2,3
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
Gaillac;Forfait;21;3,0
Gaillac;TOTAL;21;3,0
IGPSudOuest;Forfait;56,5;8,1
IGPSudOuest;TOTAL;56,5;8,1
IR;TMA;21;3,0
IR;TOTAL;21;3,0
IVBD;TMA;7;1,0
IVBD;TOTAL;7;1,0
IVSE;TMA;3,5;0,5
IVSE;TOTAL;3,5;0,5
IVSO;Nutrivin;2;0,3
IVSO;TMA;1,5;0,2
IVSO;TOTAL;3,5;0,5
NathanMode;Forfait;38,5;5,5
NathanMode;TOTAL;38,5;5,5
NLNet;Color;1,5;0,2
NLNet;Forfait;58;8,3
NLNet;Redact;7;1,0
NLNet;TOTAL;66,5;9,5
ODGProvence;TMA;14;2,0
ODGProvence;TOTAL;14;2,0
ODGRhone;Hébergement;3,5;0,5
ODGRhone;TMA;0,5;0,1
ODGRhone;TOTAL;4;0,6
Ventoux;TMA;4,5;0,6
Ventoux;TOTAL;4,5;0,6
VinsIGP;TMA;17,5;2,5
VinsIGP;TOTAL;17,5;2,5
TOTAL;TOTAL;53,1
