Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;15;2,1
24ème;24ème;8;1,1
24ème;Tactical meeting;5;0,7
24ème;TOTAL;13;1,9
24eme;TOTAL;15;2,1
Aurouze;;10;1,4
Aurouze;Contrat;10;1,4
Aurouze;Dév;35,5;5,1
Aurouze;Forfait;10;1,4
Aurouze;Passage;2;0,3
Aurouze;Plannification;2;0,3
Aurouze;Relances;28;4,0
Aurouze;TOTAL;97,5;13,9
AVA;TMA;1;0,1
AVA;TOTAL;1;0,1
CIVA;DR VTSGN;24;3,4
CIVA;Migration des comptes;56;8,0
CIVA;TMA;3;0,4
CIVA;TOTAL;83;11,9
DeclarVins;TMA;97;13,9
DeclarVins;TOTAL;97;13,9
GIILDA;GIILDA;37,5;5,4
GIILDA;IVBD;19;2,7
GIILDA;IVSO;5;0,7
GIILDA;TOTAL;61,5;8,8
Sancerre;Forfait;12;1,7
Sancerre;Réunion;7;1,0
Sancerre;TOTAL;19;2,7
VINSI;TMA;2;0,3
VINSI;XML Douane;9,5;1,4
VINSI;TOTAL;11,5;1,6
