Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;14;2,0
24eme;TOTAL;14;2,0
Aurouze;TMA;4,5;0,6
Aurouze;Tuenet;3,5;0,5
Aurouze;TOTAL;8;1,1
AVA;TMA;1,5;0,2
AVA;TMA DT;3,5;0,5
AVA;TOTAL;5;0,7
CIVA;TMA;16,5;2,4
CIVA;TMA DT;10,5;1,5
CIVA;TOTAL;27;3,9
CNIV;TMA;7;1,0
CNIV;TMA DT;7;1,0
CNIV;TOTAL;14;2,0
DeclarVins;Conception;14;2,0
DeclarVins;Egalim;50,5;7,2
DeclarVins;TMA;50,5;7,2
DeclarVins;TMA DT;10,5;1,5
DeclarVins;TOTAL;125,5;17,9
IGPFrance;reunion;3,5;0,5
IGPFrance;TOTAL;3,5;0,5
IVBD;TMA;6;0,9
IVBD;TOTAL;6;0,9
IVSO;TMA;19;2,7
IVSO;TMA DT;3,5;0,5
IVSO;TOTAL;22,5;3,2
Juricaf;TMA DT;3,5;0,5
Juricaf;TOTAL;3,5;0,5
ODGProvence;Map parcellaires;14;2,0
ODGProvence;TMA DT;7;1,0
ODGProvence;TOTAL;21;3,0
ODGRhone;TMA;21;3,0
ODGRhone;TMA DT;3,5;0,5
ODGRhone;TOTAL;24,5;3,5
Pythagore;Forfait;35;5,0
Pythagore;TOTAL;35;5,0
Sancerre;TMA;8;1,1
Sancerre;TOTAL;8;1,1
VINSI;ODG;131;18,7
VINSI;ODG DT;17,5;2,5
VINSI;ODG DT Finetuning;7;1,0
VINSI;ODG Finetuning;28;4,0
VINSI;TMA;22;3,1
VINSI;TOTAL;205,5;29,4
TOTAL;TOTAL;74,7
