Projet;Tâche;Temps (en heure);Temps (en jours)
24eme;;0;0,0
24ème;24ème;2,5;0,4
24EME;Actualys;1,5;0,2
24EME;Tactical meeting;3;0,4
24eme;TOTAL;0;0,0
24ème;TOTAL;2,5;0,4
24EME;TOTAL;4,5;0,6
Aurouze;Réunion;2,5;0,4
Aurouze;TMA;15;2,1
Aurouze;TOTAL;17,5;2,5
AVA;TMA;3;0,4
AVA;TOTAL;3;0,4
CIVA;DRM;4;0,6
CIVA;TMA;56;8,0
CIVA;TOTAL;60;8,6
DeclarVins;TMA;26,5;3,8
DeclarVins;TOTAL;26,5;3,8
EliteAuto;Commercial;1;0,1
EliteAuto;TOTAL;1;0,1
IVBD;IVBD TMA;5;0,7
IVBD;TMA;0,5;0,1
IVBD;TOTAL;5,5;0,8
IVSO;TMA;0,5;0,1
IVSO;TOTAL;0,5;0,1
ODGRhone;Forfait;240,5;34,4
ODGRhone;forfait;7;1,0
ODGRhone;TOTAL;247,5;35,4
Sancerre;TMA;2;0,3
Sancerre;TOTAL;2;0,3
VINSI;TMA;20;2,9
VINSI;TOTAL;20;2,9
