Date;Projet;Description;Temps (en heure);Tache
2017-09-04;CIVA;Correction DS et mise à jour de gamma et verso contrat;2;TMA
2017-09-05;CIVA; réunion dominique;2;TMA
2017-09-05;CIVA;Réunion Évolution DR et DRM;3,5;TMA
2017-09-08;CIVA;DS manquante et mail de rappel;7;TMA
2017-09-11;CIVA;Mise en prod clause de propriété;3,5;TMA
2017-09-12;CIVA;Correction et modification PDF convention;4;DRM
2017-09-12;CIVA;DR VCI;3,5;TMA
2017-09-12;CIVA;Mise en prod clause de propriété et prix non obligatoire dans les contrats bouteilles et environnement récolte;3,5;TMA
2017-09-13;CIVA;DR VCI;6;TMA
2017-09-14;CIVA;DR VCI;7;TMA
2017-09-15;CIVA;DR VCI;5;TMA
2017-09-18;CIVA;DR VCI;7;TMA
2017-09-19;CIVA;DR VCI;1;TMA
2017-09-20;CIVA;Export XML des DS et corrections des codes douanes pour les produits VTSGN;2;TMA
2017-09-28;CIVA;Que le récap de stats dans la mise à dispo des DR et DS aux mairies;2;TMA
2017-09-29;CIVA;Export CSV des DS (avec petite corrections);1;TMA
