Date;Projet;Description;Temps (en heure);Tache (pas obligatoire)
2017-09-01;ODGRhone;Gestion multi fichier;7;Forfait
2017-09-04;ODGRhone;Dev fichiers DRev;4;Forfait
2017-09-05;ODGRhone;Dev fichiers DRev;7;Forfait
2017-09-06;ODGRhone;Dev fichiers DRev;7;Forfait
2017-09-07;ODGRhone;Import DR + gestion des bugs;4;Forfait
2017-09-07;DeclarVins;Ticket #19828;0,5;TMA
2017-09-07;DeclarVins;Ticket #19816;0,5;TMA
2017-09-07;DeclarVins;Ticket #19792;1;TMA
2017-09-07;DeclarVins;Ticket #19829;0,5;TMA
2017-09-07;DeclarVins;Ticket #19820;0,5;TMA
2017-09-08;DeclarVins;Ticket #19792;0,5;TMA
2017-09-08;DeclarVins;Ticket #19827;1,5;TMA
2017-09-08;DeclarVins;Ticket #19727;3,5;TMA
2017-09-08;DeclarVins;Ticket #19801;1;TMA
2017-09-08;DeclarVins;Ticket #19820;0,5;TMA
2017-09-11;DeclarVins;Ticket #19729;2;TMA
2017-09-11;24eme;Facturation + tactical meeting;;
2017-09-12;CIVA;Correction et modification PDF convention;4;DRM
2017-09-12;DeclarVins;Stats dplc;1;TMA
2017-09-13;24eme;Organisation;;
2017-09-13;DeclarVins;Ticket #19827;1;TMA
2017-09-13;DeclarVins;Ticket #19853;0,5;TMA
2017-09-13;DeclarVins;CIVP GRC;1,5;TMA
2017-09-14;DeclarVins;Ticket #19727;3;TMA
2017-09-14;Aurouze;Tournee affichage des societes;2;TMA
2017-09-15;ODGRhone;Gestion DR, SV11 et SV12;7;Forfait
2017-09-18;ODGRhone;Gestion DR, SV11 et SV12;7;Forfait
2017-09-19;24eme;Point Gwen;;
2017-09-19;ODGRhone;Gestion DR, SV11 et SV12;4;Forfait
2017-09-20;ODGRhone;Gestion DR, SV11 et SV12;4;Forfait
2017-09-20;DeclarVins;GRC CIVP;3;TMA
2017-09-21;ODGRhone;CSV DR SV11 SV12;7;Forfait
2017-09-22;ODGRhone;CSV DR SV11 SV12;7;Forfait
2017-09-25;ODGRhone;Gestion des exports;7;Forfait
2017-09-26;ODGRhone;Preremplissage Drev;5;Forfait
2017-09-26;DeclarVins;ticket #19876;2;TMA
2017-09-27;DeclarVins;Fichier Isagri;2,5;TMA
2017-09-27;ODGRhone;Tickets en vue de la reunion;4,5;Forfait
2017-09-28;ODGRhone;Reunion Sprint 2;7;forfait
2017-09-29;Aurouze;Point et tma;5;TMA
2017-09-01;ODGRhone; import entités tags;4,5;Forfait
2017-09-01;VINSI;Edi intercampagne reprise volume;2,5;TMA
2017-09-04;ODGRhone; Déployement et adaptation ELK;4,5;Forfait
2017-09-04;ODGRhone; uniformisation des form contacts;2,5;Forfait
2017-09-04;VINSI;transmission douane fine bulle;1;TMA
2017-09-05;CIVA; réunion dominique;2;TMA
2017-09-05;VINSI;mise en place hack volume à 0 et problèmes de transmission;5;TMA
2017-09-06;ODGRhone; import entités déploiement preprod;3;Forfait
2017-09-06;ODGRhone; tickets DREV;5;Forfait
2017-09-07;ODGRhone; réunion;7;Forfait
2017-09-08;ODGRhone; import entités recherche groupe;1,5;Forfait
2017-09-08;VINSI;transfert etb actif en télédeclaration;2,5;TMA
2017-09-08;VINSI;transmission douane;1;TMA
2017-09-11;24EME;Tactical meeting;3;Tactical meeting
2017-09-11;ODGRhone;isoler les groupe;2,5;Forfait
2017-09-12;ODGRhone;groupes et import;4,5;Forfait
2017-09-12;VINSI;fichiers Short pour le BI;2;TMA
2017-09-13;EliteAuto;Appel téléphonique;1;Commercial
2017-09-13;ODGRhone;tickets et import;4,5;Forfait
2017-09-13;VINSI;Correction DRM;1;TMA
2017-09-14;Aurouze;Contrat à déplacer et tache pour déplacer les contrats;3,5;TMA
2017-09-14;IVBD;hack douane pour les produits ajouté;1,5;IVBD TMA
2017-09-14;VINSI;modif des crd si usurpation mode;2;TMA
2017-09-15;IVBD;Extraction des viti pour Eric;3,5;IVBD TMA
2017-09-15;ODGRhone;tickets et import;1,5;Forfait
2017-09-18;ODGRhone;Mis en place Habilitation;3,5;Forfait
2017-09-19;24EME;Réunion Gwen;1,5;Actualys
2017-09-19;ODGRhone;Mis en place Habilitation;5,5;Forfait
2017-09-20;ODGRhone;Mis en place Habilitation;7;Forfait
2017-09-21;ODGRhone;Mis en place Habilitation;5;Forfait
2017-09-21;VINSI;Correction js Contrat Bio;2;TMA
2017-09-22;ODGRhone;Groupes d'interlocuteurs;2;Forfait
2017-09-22;ODGRhone;Mis en place Habilitation;2;Forfait
2017-09-25;ODGRhone;Import des contacts groupes;3;Forfait
2017-09-25;ODGRhone;Nav Habilitation et reprise;3;Forfait
2017-09-26;Aurouze;Contrat à déplacer;1;TMA
2017-09-26;ODGRhone;Import des établissement multiples;4;Forfait
2017-09-27;ODGRhone;Tickets;8;Forfait
2017-09-28;ODGRhone; réunion ;7;Forfait
2017-09-29;Aurouze;Calendar hauteur;1;TMA
2017-09-29;Aurouze;Réunion avancement;1,5;TMA
2017-09-29;ODGRhone; historique Habilitation ;2;Forfait
2017-09-01;Aurouze;Corrections de docs;1;TMA
2017-09-01;ODGRhone;Dév;3,5;Forfait
2017-09-04;CIVA;Correction DS et mise à jour de gamma et verso contrat;2;TMA
2017-09-04;ODGRhone;Dév;5;Forfait
