Client;Catégorie;Temps (en heure);Temps (en jours)
Aurouze;TMA;5,5;0,8
Aurouze;TOTAL;5,5;0,8
AVA;TMA;7;1,0
AVA;TOTAL;7;1,0
BIVC;TMA;11;1,6
BIVC;TOTAL;11;1,6
CentreLoire;TMA;40,5;5,8
CentreLoire;TOTAL;40,5;5,8
CIVA;TMA;45,5;6,5
CIVA;TOTAL;45,5;6,5
CIVP;Sécurité;10,5;1,5
CIVP;SuiviReserve;2;0,3
CIVP;TMA;15;2,1
CIVP;TOTAL;27,5;3,9
CNIV;Forfait;24,5;3,5
CNIV;TOTAL;24,5;3,5
IR;Sécurité;14;2,0
IR;TMA;30,5;4,4
IR;TOTAL;44,5;6,4
IVBD;TMA;5;0,7
IVBD;TOTAL;5;0,7
IVSE;Sécurité;3,5;0,5
IVSE;TMA;5,5;0,8
IVSE;VIP2C;22,5;3,2
IVSE;TOTAL;31,5;4,5
IVSO;NutriVin;35,5;5,1
IVSO;TMA;3,5;0,5
IVSO;TOTAL;39;5,6
NathanMode;TMA;2;0,3
NathanMode;TOTAL;2;0,3
ODGProvence;CAPCVP;21;3,0
ODGProvence;TOTAL;21;3,0
ODGRhone;TMA;8,5;1,2
ODGRhone;TOTAL;8,5;1,2
Ventoux;TMA;1;0,1
Ventoux;TOTAL;1;0,1
VinsIGP;TMA;31;4,4
VinsIGP;TOTAL;31;4,4
TOTAL;TOTAL;49,3
