Projet;Tâche;Temps (en heure);Temps (en jours)
24ème;;20;2,9
24ème;24ème;6;0,9
24ème;Repos;3,5;0,5
24ème;Tactical meeting;3,5;0,5
24ème;TOTAL;33;4,7
Aurouze;Devis;2,5;0,4
Aurouze;Forfait;14;2,0
Aurouze;Non facturable;2;0,3
Aurouze;TMA;24,5;3,5
Aurouze;TOTAL;43;6,1
AVA;DRevModificatrice;22,5;3,2
AVA;TMA;10,5;1,5
AVA;TravauxMarc;34;4,9
AVA;TOTAL;67;9,6
CIVA;Forfait;3;0,4
CIVA;TMA;14,5;2,1
CIVA;TOTAL;17,5;2,5
DeclarVins;TMA;31;4,4
DeclarVins;TOTAL;31;4,4
IVBD;TMA;13,5;1,9
IVBD;TOTAL;13,5;1,9
IVSO;TMA;5;0,7
IVSO;TOTAL;5;0,7
ODGRhone;Commercial;2,5;0,4
ODGRhone;Déploiement Serveur;10,5;1,5
ODGRhone;Forfait;164;23,4
ODGRhone;TOTAL;177;25,3
Pythagore;Forfait;21;3,0
Pythagore;TOTAL;21;3,0
Sancerre;TMA;1,5;0,2
Sancerre;TOTAL;1,5;0,2
VINSI;TMA;34;4,9
VINSI;TOTAL;34;4,9
