Client;Catégorie;Temps (en heure);Temps (en jours)
ADM;TMA;18;2,6
ADM;TOTAL;18;2,6
ASSVAS;TMA;7;1,0
ASSVAS;TOTAL;7;1,0
Aurouze;TMA;38,5;5,5
Aurouze;TOTAL;38,5;5,5
AVA;TMA;17,5;2,5
AVA;TOTAL;17,5;2,5
BIVC;TMA;3,5;0,5
BIVC;TOTAL;3,5;0,5
CentreLoire;TMA;4,5;0,6
CentreLoire;TOTAL;4,5;0,6
CIVA;TMA;32;4,6
CIVA;TOTAL;32;4,6
CIVP;CravatePDF;71,5;10,2
CIVP;SV12;35;5,0
CIVP;TMA;8;1,1
CIVP;TOTAL;114,5;16,4
CNIV;TMA;3,5;0,5
CNIV;TOTAL;3,5;0,5
IR;TMA;21;3,0
IR;TOTAL;21;3,0
IVBD;TMA;12,5;1,8
IVBD;TOTAL;12,5;1,8
IVSE;TMA;3,5;0,5
IVSE;TOTAL;3,5;0,5
IVSO;NutriVin;8,5;1,2
IVSO;TMA;4,5;0,6
IVSO;TOTAL;13;1,9
Juricaf;AdminSys;8;1,1
Juricaf;TMA;3,5;0,5
Juricaf;TOTAL;11,5;1,6
NathanMode;TMA;2,5;0,4
NathanMode;TOTAL;2,5;0,4
ODGNantes;TMA;3,5;0,5
ODGNantes;TOTAL;3,5;0,5
ODGProvence;TMA;14;2,0
ODGProvence;TOTAL;14;2,0
ODGRhone;Adelphe;1;0,1
ODGRhone;TOTAL;1;0,1
Prodimmo;Report24;10;1,4
Prodimmo;TOTAL;10;1,4
Ventoux;TMA;3,5;0,5
Ventoux;TOTAL;3,5;0,5
VinsIGP;TMA;21,5;3,1
VinsIGP;TOTAL;21,5;3,1
TOTAL;TOTAL;50,9
